34038803 , 60000 , 31 , 5 , 13
32699421 , 85000 , 26 , 3 , 8
18092324 , 45000 , 20 , 5 , 14
30611933 , 80000 , 14 , 3 , 9
36445552 , 90000 , 21 , 4 , 14
26644750 , 65000 , 7 , 6 , 15
20818723 , 45000 , 35 , 5 , 14
31700237 , 60000 , 6 , 5 , 15
30909002 , 75000 , 25 , 6 , 16
25020701 , 65000 , 27 , 5 , 15
33385110 , 85000 , 27 , 3 , 9
29777466 , 70000 , 37 , 4 , 14
36576282 , 85000 , 18 , 3 , 9
26245259 , 70000 , 25 , 4 , 14
26282086 , 65000 , 35 , 6 , 16
18704787 , 50000 , 27 , 5 , 12
25594976 , 70000 , 40 , 4 , 13
32766368 , 85000 , 16 , 3 , 8
25330351 , 65000 , 17 , 6 , 16
34125484 , 85000 , 31 , 3 , 9
31802538 , 60000 , 7 , 5 , 13
31241317 , 75000 , 6 , 7 , 14
18655578 , 50000 , 19 , 5 , 12
25690886 , 65000 , 30 , 5 , 16
34315821 , 90000 , 15 , 4 , 13
18320344 , 50000 , 11 , 5 , 11
17719589 , 45000 , 22 , 5 , 15
26356217 , 70000 , 33 , 4 , 13
35113884 , 85000 , 32 , 3 , 9
18399658 , 45000 , 33 , 5 , 14
37180789 , 95000 , 30 , 4 , 13
26457385 , 65000 , 28 , 6 , 16
33329738 , 85000 , 10 , 3 , 8
23113999 , 55000 , 32 , 4 , 13
21858153 , 55000 , 11 , 4 , 12
34422067 , 90000 , 10 , 4 , 15
17901796 , 45000 , 34 , 5 , 15
37355882 , 90000 , 17 , 4 , 13
27896404 , 70000 , 10 , 4 , 13
34040860 , 90000 , 8 , 4 , 14
22454747 , 55000 , 27 , 6 , 15
18299294 , 45000 , 38 , 5 , 14
27579703 , 60000 , 34 , 5 , 14
30262994 , 75000 , 37 , 6 , 14
18736554 , 50000 , 29 , 5 , 11
38251773 , 95000 , 26 , 4 , 14
36573624 , 95000 , 34 , 4 , 14
17794823 , 45000 , 26 , 5 , 15
23559838 , 55000 , 34 , 4 , 12
21541819 , 50000 , 36 , 5 , 12
34981777 , 90000 , 31 , 4 , 14
30468953 , 75000 , 40 , 7 , 13
18878284 , 45000 , 27 , 5 , 14
28430233 , 60000 , 12 , 5 , 14
21444156 , 55000 , 28 , 5 , 14
24559562 , 65000 , 12 , 6 , 16
27554236 , 65000 , 37 , 6 , 15
20045400 , 45000 , 10 , 5 , 14
21625886 , 55000 , 33 , 4 , 12
18773701 , 50000 , 12 , 5 , 13
22854332 , 55000 , 39 , 4 , 12
36777812 , 95000 , 7 , 4 , 14
37479701 , 95000 , 5 , 4 , 14
18700833 , 50000 , 34 , 5 , 12
27624399 , 70000 , 35 , 4 , 14
32676200 , 75000 , 18 , 6 , 15
24089583 , 55000 , 18 , 4 , 12
38234995 , 90000 , 6 , 4 , 14
29201479 , 70000 , 38 , 4 , 14
38346381 , 90000 , 7 , 4 , 14
32849364 , 80000 , 32 , 3 , 9
27056172 , 70000 , 23 , 4 , 14
40420570 , 90000 , 37 , 4 , 14
31619973 , 80000 , 39 , 3 , 10
